Customer,Inter-Arrival Time,Arrival Time,Wait Time,Service Time,Service Start Time,Service End Time,Time in System,Idle Time Before Service
280,1.17,1258.02,0.23,3.88,1258.25,1262.13,4.11,0.0
281,5.08,1263.1,-0.0,2.58,1263.1,1265.68,2.58,0.97
282,5.79,1268.88,0.0,3.09,1268.88,1271.97,3.09,3.2
283,4.54,1273.43,-0.0,1.43,1273.43,1274.86,1.43,1.46
284,7.47,1280.9,-0.0,1.24,1280.9,1282.14,1.24,6.04
285,1.55,1282.45,-0.0,4.07,1282.45,1286.52,4.07,0.31
286,6.86,1289.31,-0.0,3.45,1289.31,1292.76,3.45,2.79
287,6.72,1296.03,-0.0,5.5,1296.03,1301.53,5.5,3.27
288,4.72,1300.75,0.78,2.88,1301.53,1304.41,3.66,0.0
289,5.79,1306.54,0.0,2.55,1306.54,1309.09,2.55,2.13
290,4.43,1310.97,-0.0,3.74,1310.97,1314.71,3.74,1.88
291,7.0,1317.97,0.0,5.52,1317.97,1323.49,5.52,3.26
292,4.89,1322.86,0.63,1.27,1323.49,1324.76,1.9,0.0
293,6.36,1329.22,0.0,1.16,1329.22,1330.38,1.16,4.46
294,3.72,1332.95,-0.0,2.53,1332.95,1335.48,2.53,2.57
295,6.42,1339.37,-0.0,5.75,1339.37,1345.12,5.75,3.89
296,2.5,1341.87,3.25,2.93,1345.12,1348.05,6.18,0.0
297,2.5,1344.37,3.68,1.28,1348.05,1349.33,4.96,0.0
298,3.71,1348.07,1.26,3.26,1349.33,1352.59,4.52,0.0
299,5.67,1353.74,0.0,1.41,1353.74,1355.15,1.41,1.15
300,7.17,1360.91,0.0,2.88,1360.91,1363.79,2.88,5.76
301,2.37,1363.29,0.5,3.16,1363.79,1366.95,3.66,0.0
302,1.65,1364.93,2.02,4.14,1366.95,1371.09,6.16,0.0
303,2.73,1367.66,3.43,1.97,1371.09,1373.06,5.4,0.0
304,2.98,1370.64,2.42,4.98,1373.06,1378.04,7.4,0.0
305,4.79,1375.43,2.61,4.9,1378.04,1382.94,7.51,0.0
306,7.55,1382.98,-0.0,5.64,1382.98,1388.62,5.64,0.04
307,7.09,1390.07,-0.0,2.15,1390.07,1392.22,2.15,1.45
308,3.14,1393.2,0.0,1.34,1393.2,1394.54,1.34,0.98
309,4.99,1398.2,-0.0,5.42,1398.2,1403.62,5.42,3.66
310,3.03,1401.23,2.39,2.95,1403.62,1406.57,5.34,0.0
311,4.06,1405.28,1.29,5.05,1406.57,1411.62,6.34,0.0
312,3.83,1409.11,2.51,1.75,1411.62,1413.37,4.26,0.0
313,5.72,1414.84,-0.0,3.46,1414.84,1418.3,3.46,1.47
314,2.1,1416.93,1.37,2.48,1418.3,1420.78,3.85,0.0
315,7.32,1424.26,-0.0,3.51,1424.26,1427.77,3.51,3.48
316,3.27,1427.52,0.25,4.24,1427.77,1432.01,4.49,0.0
317,1.53,1429.05,2.96,5.42,1432.01,1437.43,8.38,0.0
318,2.05,1431.1,6.33,3.9,1437.43,1441.33,10.23,0.0
319,1.94,1433.04,8.29,5.19,1441.33,1446.52,13.48,0.0
320,6.98,1440.02,6.5,3.58,1446.52,1450.1,10.08,0.0
321,7.12,1447.14,2.96,3.35,1450.1,1453.45,6.31,0.0
322,5.39,1452.53,0.92,3.71,1453.45,1457.16,4.63,0.0
323,7.61,1460.14,-0.0,5.66,1460.14,1465.8,5.66,2.98
324,2.95,1463.08,2.72,5.21,1465.8,1471.01,7.93,0.0
325,5.25,1468.33,2.68,3.32,1471.01,1474.33,6.0,0.0
326,2.29,1470.62,3.71,2.41,1474.33,1476.74,6.12,0.0
327,4.85,1475.47,1.27,1.17,1476.74,1477.91,2.44,0.0
328,1.06,1476.53,1.38,1.12,1477.91,1479.03,2.5,0.0
329,1.83,1478.37,0.66,4.74,1479.03,1483.77,5.4,0.0
330,1.52,1479.89,3.88,3.66,1483.77,1487.43,7.54,0.0
331,1.76,1481.65,5.78,1.11,1487.43,1488.54,6.89,0.0
332,7.51,1489.17,-0.0,4.93,1489.17,1494.1,4.93,0.63
333,4.39,1493.56,0.54,5.95,1494.1,1500.05,6.49,0.0
334,4.26,1497.81,2.24,3.47,1500.05,1503.52,5.71,0.0
335,5.87,1503.68,0.0,2.95,1503.68,1506.63,2.95,0.16
336,5.01,1508.69,0.0,3.52,1508.69,1512.21,3.52,2.06
337,4.63,1513.32,-0.0,3.42,1513.32,1516.74,3.42,1.11
338,2.61,1515.92,0.82,2.17,1516.74,1518.91,2.99,0.0
339,4.59,1520.51,0.0,4.13,1520.51,1524.64,4.13,1.6
340,7.24,1527.75,0.0,4.12,1527.75,1531.87,4.12,3.11
341,4.11,1531.86,0.01,2.16,1531.87,1534.03,2.17,0.0
342,4.35,1536.22,-0.0,3.17,1536.22,1539.39,3.17,2.19
343,2.11,1538.33,1.06,3.64,1539.39,1543.03,4.7,0.0
344,1.21,1539.53,3.5,5.44,1543.03,1548.47,8.94,0.0
345,6.3,1545.83,2.64,2.89,1548.47,1551.36,5.53,0.0
346,2.78,1548.62,2.74,3.31,1551.36,1554.67,6.05,0.0
347,1.56,1550.18,4.49,3.62,1554.67,1558.29,8.11,0.0
348,7.56,1557.74,0.55,2.95,1558.29,1561.24,3.5,0.0
349,2.21,1559.94,1.3,4.07,1561.24,1565.31,5.37,0.0
350,6.69,1566.63,0.0,3.09,1566.63,1569.72,3.09,1.32
351,3.14,1569.77,0.0,3.42,1569.77,1573.19,3.42,0.05
352,4.54,1574.31,-0.0,2.36,1574.31,1576.67,2.36,1.12
353,7.77,1582.08,-0.0,1.98,1582.08,1584.06,1.98,5.41
354,1.79,1583.87,0.19,2.67,1584.06,1586.73,2.86,0.0
355,1.44,1585.31,1.42,3.41,1586.73,1590.14,4.83,0.0
